acs.exec_failed	"acs-durable (-tags acs) gate could not run: executable file not found"
apicover.bin_dir	"apicover gate: ensure bin dir: mkdir {MOD}/bin: not a directory"
apicover.cover_func	"apicover gate: cover -func: sysexec: go [tool cover -func={MOD}/bin/ciparity-cover.txt] exit=1: boom"
apicover.cover_run	"apicover gate: scoped coverage run: sysexec: go [test -tags integration acs -coverprofile={MOD}/bin/ciparity-cover.txt ./internal/p] exit=1: boom"
apicover.measure_interrupted	"apicover gate: measurement interrupted: context deadline exceeded"
apicover.measurement_error	"apicover -enforce measurement error: {MOD}/internal/p/x.go:3:8: expected ')', found 'EOF'"
apicover.pkg_dirs	"apicover gate: go list: sysexec: go [list -e -f {{.Dir}} ./internal/p] exit=1: boom"
apicover.uncovered	"UNCOVERED (no test names it): 1"
apicover.underivable	"changed-package set is underivable this cycle (git diff failed) — apicover -enforce gate cannot verify coverage; treat as FAIL, do not ship"
apicover.write_func_cover	"apicover gate: write func cover: open {MOD}/bin/ciparity-cover.txt.func.txt: is a directory"
changeset.underivable	"changed-package set is underivable this cycle (git diff failed — e.g. a concurrent-fleet .git/index.lock race), so this whole-repo gate cannot tell an untouched cycle from an unreadable one: gate skipped, CI backstops it"
graduation.offender	"./internal/brandnew: new package absent from go/.apicover-enforce — the repo-wide apicover unnamed-export gate never inspects it. Make EXACTLY these edits:\n  ./internal/brandnew:\n    1. append this line to go/.apicover-enforce:  ./internal/brandnew\n    2. create go/internal/brandnew/apicover_named_test.go naming every exported symbol of the package in a real assertion that executes it (an enrolled-but-unnamed package fails the gate too)"
graduation.underivable	"changed-package set is underivable this cycle (git diff failed) — apicover graduation gate cannot verify new packages; treat as FAIL, do not ship"
tier.deadline.no_verdict.no_log	"integration tier exceeded its 1ns budget on the serialized retake with no test verdict in the truncated output — a deadline kill is not a judgment; degraded to WARN (integration-tier.log unavailable)"
tier.deadline.no_verdict.with_log	"integration tier exceeded its 1ns budget on the serialized retake with no test verdict in the truncated output — a deadline kill is not a judgment; degraded to WARN (both attempts: {WS}/integration-tier.log)"
tier.deadline.with_markers.offenders	"--- FAIL: TestTruncatedButJudged (0.02s)\nFAIL\tpkg\t3.0s\nfull output: {WS}/integration-tier.log"
tier.env_exclusive.all	"touched package(s) ./internal/bridge/... are env-exclusive under a live loop. Backstop: requireTmux tests boot real tmux sessions; under a live wave those boots time out (13 offenders on cycle-1543, all exit=80; the same tests 7/7 PASS in 17.2s on a quiet host) — internal/bridge's requireTmux tier is NOT covered by CI (no tmux on runners — the #483 finding); its backstop is a quiet-host run (loop-boot preflight, or `go test -tags integration` with no wave active) (ADR-0069)"
tier.exec_failed	"integration-tier gate could not run: executable file not found"
tier.flake.no_log	"integration tier was RED under fleet contention but GREEN on a serialized clean-env retake — contention flake absorbed, not a code defect (integration-tier.log unavailable)"
tier.flake.with_log	"integration tier was RED under fleet contention but GREEN on a serialized clean-env retake — contention flake absorbed, not a code defect (both attempts: {WS}/integration-tier.log)"
tier.list_failed	"integration-tier gate: go list: sysexec: go [list ./...] exit=1: boom"
tier.redred.offenders	"--- FAIL: TestGenuine (0.01s)\nFAIL\tpkg\t2.0s\nfull output: {WS}/integration-tier.log"
tier.retake_exec_failed.offenders	"--- FAIL: TestFirstAttempt (0.00s)\nFAIL\tpkg\t1.0s\nfull output: {WS}/integration-tier.log"
vet.exec_failed	"go vet ./... gate could not run: executable file not found"
vet.no_output	"go exited 2 (no output)"
